Date : 2024-04-20 00:01:04
Directory : c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat
Total : 85 files,  25814 codes, 285 comments, 1545 blanks, all 27644 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| XML             |         18 |     18,019 |          2 |         15 |     18,036 |
| HTML            |          9 |      3,236 |         29 |        453 |      3,718 |
| CSS             |         24 |      2,770 |        108 |        629 |      3,507 |
| Java            |         24 |      1,308 |         16 |        308 |      1,632 |
| JavaScript      |          5 |        365 |         60 |         96 |        521 |
| Batch           |          1 |        102 |         51 |         36 |        189 |
| JSON            |          1 |          6 |          0 |          0 |          6 |
| YAML            |          1 |          5 |         19 |          8 |         32 |
| Java Properties |          1 |          2 |          0 |          0 |          2 |
| SQL             |          1 |          1 |          0 |          0 |          1 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |         85 |     25,814 |        285 |      1,545 |     27,644 |
| . (Files)                                                                                                                        |          3 |        180 |         72 |         49 |        301 |
| .idea                                                                                                                            |          9 |     17,753 |          0 |          0 |     17,753 |
| .idea (Files)                                                                                                                    |          8 |        503 |          0 |          0 |        503 |
| .idea\dataSources                                                                                                                |          1 |     17,250 |          0 |          0 |     17,250 |
| .mvn                                                                                                                             |          1 |          2 |          0 |          0 |          2 |
| .mvn\wrapper                                                                                                                     |          1 |          2 |          0 |          0 |          2 |
| .vs                                                                                                                              |          1 |          6 |          0 |          0 |          6 |
| DBQuery                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                                              |         70 |      7,872 |        213 |      1,496 |      9,581 |
| src\main                                                                                                                         |         70 |      7,872 |        213 |      1,496 |      9,581 |
| src\main\java                                                                                                                    |         24 |      1,308 |         16 |        308 |      1,632 |
| src\main\java\com                                                                                                                |         24 |      1,308 |         16 |        308 |      1,632 |
| src\main\java\com\example                                                                                                        |         24 |      1,308 |         16 |        308 |      1,632 |
| src\main\java\com\example\demo                                                                                                   |         24 |      1,308 |         16 |        308 |      1,632 |
| src\main\java\com\example\demo\dao                                                                                               |          5 |        196 |          3 |         35 |        234 |
| src\main\java\com\example\demo\model                                                                                             |          4 |        419 |          1 |        108 |        528 |
| src\main\java\com\example\demo\servlet                                                                                           |         15 |        693 |         12 |        165 |        870 |
| src\main\java\com\example\demo\servlet (Files)                                                                                   |          4 |        162 |          1 |         30 |        193 |
| src\main\java\com\example\demo\servlet\Food                                                                                      |          3 |        153 |          4 |         36 |        193 |
| src\main\java\com\example\demo\servlet\User                                                                                      |          4 |        261 |          6 |         67 |        334 |
| src\main\java\com\example\demo\servlet\bill                                                                                      |          1 |         51 |          1 |         13 |         65 |
| src\main\java\com\example\demo\servlet\cart                                                                                      |          3 |         66 |          0 |         19 |         85 |
| src\main\resources                                                                                                               |          7 |        187 |          0 |         10 |        197 |
| src\main\resources (Files)                                                                                                       |          5 |        164 |          0 |          8 |        172 |
| src\main\resources\META-INF                                                                                                      |          2 |         23 |          0 |          2 |         25 |
| src\main\webapp                                                                                                                  |         39 |      6,377 |        197 |      1,178 |      7,752 |
| src\main\webapp (Files)                                                                                                          |          9 |      3,236 |         29 |        453 |      3,718 |
| src\main\webapp\WEB-INF                                                                                                          |          1 |          6 |          0 |          0 |          6 |
| src\main\webapp\css                                                                                                              |         24 |      2,770 |        108 |        629 |      3,507 |
| src\main\webapp\css (Files)                                                                                                      |          4 |        337 |         12 |         74 |        423 |
| src\main\webapp\css\customerPageCss                                                                                              |          5 |        741 |         31 |        179 |        951 |
| src\main\webapp\css\homeCss                                                                                                      |          7 |        766 |         52 |        188 |      1,006 |
| src\main\webapp\css\managerPageCss                                                                                               |          8 |        926 |         13 |        188 |      1,127 |
| src\main\webapp\js                                                                                                               |          5 |        365 |         60 |         96 |        521 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                         | language        | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\dataSources.local.xml                                                    | XML             |         26 |          0 |          0 |         26 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\dataSources.xml                                                          | XML             |         12 |          0 |          0 |         12 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\dataSources\0c7c84a8-1840-4782-902a-80599c727165.xml                     | XML             |     17,250 |          0 |          0 |     17,250 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\encodings.xml                                                            | XML             |          7 |          0 |          0 |          7 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\misc.xml                                                                 | XML             |         13 |          0 |          0 |         13 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\uiDesigner.xml                                                           | XML             |        124 |          0 |          0 |        124 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\vcs.xml                                                                  | XML             |          6 |          0 |          0 |          6 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\webContexts.xml                                                          | XML             |         17 |          0 |          0 |         17 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\workspace.xml                                                            | XML             |        298 |          0 |          0 |        298 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.mvn\wrapper\maven-wrapper.properties                                          | Java Properties |          2 |          0 |          0 |          2 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.vs\VSWorkspaceState.json                                                      | JSON            |          6 |          0 |          0 |          6 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\DBQuery\drawSQL-sqlsrv-export-2024-04-07.sql                                   | SQL             |          1 |          0 |          0 |          1 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\mvnw.cmd                                                                       | Batch           |        102 |         51 |         36 |        189 |
